State,City,Alias,City_ID,Lat,Lon
CA,Big Bear Lake,Big Bear vicinity,5328163,34.244,-116.937
CA,Hemet,Tahquitz/Suicide Rock,5356277,33.757,-116.686
CA,Twentynine Palms,Joshua Tree National Park,5404198,34.014,-116.171
CA,San Diego,San Diego vicinity,5391811,33.01,-117.015
AK,Juneau,Juneau vicinity,5554072,58.302,-134.424
AK,Seward,Kenai Peninsula,5873776,60.105,-149.443
AK,Palmer,Hatcher Pass,5871146,61.77,-149.33
AK,Denali,Denali National Park,5860541,63.116,-151.229
AK,Fairbanks,Fairbanks vicinity,5861897,64.828,-147.809
AK,Anchorage,Seward Highway,5879400,61.043,-149.785
HI,Honolulu,Oahu,5856195,21.483,-158.246
HI,Kahului,Maui,5847411,20.807,-156.453
Nuevo Leon,Monterrey,El Portrero Chico,3995465,25.842501,-99.616112
Nuevo Leon,Santiago,El Salto,3983671,25.377437,-100.241675
Guerrero,Taxco,El Chonta,3516225,18.647932,-99.522583
Hidalgo,Pachuca,Mineral de Chico,3522210,20.20992,-98.727357
Chihuahua,Chihuahua,Peñoles,4014338,28.633329,-106.083328
Jalisco,Guadalajara,Guadalajara Vicinity,8133378,20.086889,-103.309937
BC,Vancouver,Squamish,6173331,49.710849,-123.126449
BC,Kelowna,Skaha,5990579,49.883072,-119.48568
BC,Golden,Bugaboos,5962582,50.74077,-116.782531
BC,Qualicum Beach,Horne Lake,6114862,49.346828,-124.436058
AB,Canmore,Canmore Vicinity,7871396,51.08757,-115.346153
ON,Collingwood,Lions Head,5925975,44.990146,-81.221132
ON,Thunder Bay,Thunder Bay Vicinity,6166142,48.400101,-89.316833
QC,Kamouraska,Kamouraska,6325493,47.565929,-69.86631
QC,Val-David,Val-David,6173001,46.033379,-74.215919
NS,Halifax,Dover Island,6324729,44.645329,-63.572392
YT,Fort Simpson,Cirque of the Unclimbables,5955953,62.111091,-127.697273
Cuba,Pinar del Rio,Viñales,3544091,22.622259,-83.711819
BVI,Road Town,Virgin Gorda,3577430,18.430884,-64.443288
PR,Bayamon,Bayamon,4562832,18.17774,-66.11322
France,Fontainebleau,Fontainebleau,3018074,48.400002,2.7
France,Chamonix,Chamonix-Mont Blanc,3027301,45.923752,6.86933
France,Aix-En-Provence,Cote D'Azure,6452134,43.533329,5.43333
France,Gap,Ceuse,6446644,44.566669,6.08333
UK,Sheffield,Peak District,2638077,53.382969,-1.4659
UK,Fort William,Scottish Highlands,2649169,56.816479,-5.11208
UK,Llanberis,North Wales,2644172,53.119221,-4.13017
Spain,Corudella de Montsant,Siurana,6361292,41.26387,0.92856
Spain,Margalef,Margalef,6361318,41.303661,0.78046
Spain,Chulilla,Chulilla,6361977,39.651348,-0.85005
Spain,Rodellar,Rodellar,3111456,42.28249,-0.07858
Spain,Jaen,Jaen,2516395,37.76667,-3.78333
Portugal,Sagres,Sagres,2263650,37.00864,-8.94311
Sweden,Gothenburg,Gothenburg Vicinity,2711537,57.707161,11.96679
Sweden,Vastervik,Vastervik,2664203,57.7584,16.637329
Norway,Bergen,Loddefjord,3161733,60.391998,5.328
Norway,Trondheim,Flatanger,3133881,63.428108,10.39687
Norway,Svolvaer,Lofoten Islands,3135020,68.234169,14.56834
Norway,Tromso,Tromso,3133895,69.648903,18.95508
Finland,Helsinki,Helsinki Vicinity,658225,60.169521,24.93545
Poland,Krakow,Podlesice,3094802,50.083328,19.91667
Germany,Erlangen,Frankenjura,2929567,49.589722,11.00389
Germany,Garmisch,Schleierwasserfall,2922530,47.492088,11.09576
Switzerland,Biasca,Chironico,2661524,46.359718,8.96965
Switzerland,Grindelwald,Grindelwald,7285984,46.619068,8.05098
Switzerland,Lauterbrunnen,Lauterbrunnen,2659992,46.59568,7.90765
Switzerland,Thusis,Magic Wood,7287310,46.688541,9.43282
Switzerland,Schiers,Ratikon,7287084,46.992329,9.74605
Austria,Innsbruck,Tirol,2775220,47.262661,11.39454
Austria,Zell am Ziller,Zillertal,7873713,47.22982,11.88535
Austria,Oetz,Otztal,7873593,47.203259,10.90793
Austria,Burs,Burs,7872644,47.124199,9.79679
Belgium,Namur,Freyr,2790471,50.4669,4.86746
Ireland,Ballycastle,Fairhead,2966646,54.283329,-9.36667
Croatia,Obrovac,Paklenica,3194245,44.200562,15.68222
Croatia,Kompanj,Kompanj,3202942,45.409439,13.96667
